tetep bangga kalah menang indonesia	positive
ikuti alurnya ajamana taru timnas comeback kayak jepang kemarin malem aaminn	neutral
offside	negative
masii optimis	positive
mark klok main yokkhubner bertahan jordi	neutral
kalok jujur indonesia bener striker buas kayak bambang pamungkas boaz salosa minim striker rafael struick bagus mainya letoy body wajarlah muda ganteng	positive
salam	positive
jaga var orang thailand	neutral
pegang bola	neutral
upaya apanya jelas² nyundul bola	negative
damanik level kompetisi sekolah asia	neutral
kejutannya	negative
asnawi si anak emas sandy walsh ngerti dah mending dilepas klub asli liga teratas belgium cuman cadangan asnawi starter sekelas reece james mh peduli	negative
struick egois milih giring drpd umpan kalo diumpan goal	negative
mudah iraq golin cuman pemain kitanya kebanyakan bluder tenaga doang keluarin nedang kedepan doang pakai oper opran	negative
yann var	neutral
heran banget kiper bangkai pakek	negative
gocak gocek bae	negative
serang nih serang dongg	negative
ngapa bacot terima	negative
berharap imbang	positive
pulang	positive
harapan lolos play semangat garuda	neutral
kanan bapuk	negative
gas match terhibur permainan timnas terhibur baca komentar	neutral
asnawi suruh main garis lapangan	negative
helai rambut kena	negative
taru su serasa ad arwah maguayer masuk jiwa si	positive
tidur gabakal menang ko seri mustahil	negative
gimana var eror keputusan	negative
alloh	positive
passing berantakan bertahan kelabakan indonesia	negative
paok bener	negative
offside pas gawang wasit bunyiin pluit bola tetep jalan pas goal mh emang onsideklo offside pluit mh mgkin peluang goal hmmm	negative
nyalahin var pemian irak yng nomor offside	neutral
asmuni arhan beban timnas	neutral
var	neutral
untung aja offsidee cuyy msa bru main babak lngsung keboblan	positive
sananta masukin	positive
asnawi masoh grusak grusuk	negative
asnawi bener main ambil habis pdhl sisa palang pintu kanan msh kosong habis kali ambil habis jebol	negative
f ngehujatminimal prestasi mulut ngotorin	negative
blunder nomer punggung	neutral
fokus terganggu keputusan bodoh wasit	negative
emng bner main kaya gerobak	positive
biar keren aja mngkin	negative
nzl habis pikir demen banget perasaan blunder mulu aneh	negative
sandy maennya	neutral
sundulan keitung	neutral
target lolos grub susah bro lihat grub serem feel lolos iraq jepang	negative
iyaa emang kocak dah	positive
sandy msuk babak astaga greget asnawi mlm	neutral
dipake pajangan ka	positive
beban	negative
bagus pemain lokal kontribusinya	positive
desria sayang banget ditakutin	positive
jujur nih suka pas witan masuk langsung jleub hilang ritme	positive
var	neutral
bilangin pakai jersey merah merah masi pakai timnas prestasi kalo pakai jersey merah merah ganti jersey timnas jersey merah putih mumpung kesempatan kali pertandingan ganti jersey timnas jersey merah putih jersey merah merah	neutral
ppfftt	positive
sayuri copy biar banyakan kayak	negative
beck	negative
sann amin semoga terkabul	positive
kebobolan	negative
sty sty sty taik	positive
marc klok ivar jenner	neutral
goal murni	negative
yakob kelazzz	neutral
njing	negative
garsak grusuk jordi korbannya	negative
f sono myanmar rohingya gatau nyinyirin timnas indonesia bocah dongo goblok	negative
greget lihat rafaell tdii	positive
sandy shane masuk	positive
sekelas sandy wals pmain pengganti wkwkwkk	negative
coba main bang lawan pemain irak alah bacot doang bisanya	negative
kebanyakan gocek	negative
wasitnya sekelas wasit ep ep	negative
pelatihnya nunggu goal dlu ganti pdhl udah buntu td	negative
vidias emang var pas hongkong kmrin	neutral
greget asliii sty masangin taktik gmn asnawi main main turnamen main kaku nabrak sanasini rafael nga taru dah didepan fungsinya sekalinya pergantian wals dimasukin pemain cicak	negative
biasalah bang namanya permainan bolamau gimana	negative
komentarin tolol noh	negative
sepatunya bagus	positive
nice	positive
emang pasion situ minimal bikin kontribusi lini bro komentator geleng geleng kepala	negative
grow koe luwih ra guno	positive
wasitnya qntol cek var bolehin	negative
goal rafael buang bkn tahan	negative
rafael ganti witannnn main egois mulu	negative
ngmpul gawang buang bola	negative
ngggkkk	negative
woyyy lini istighfar	negative
goal enak banget pemainan jelek kebanyakan gocet ujunga rebut goal irak kesalahan	negative
fultime cantumin cuman goalnya doang admin duhhh	negative
jordi	negative
lihat instagram cuy var jdi banget	positive
taru sok banget tinggal buang kelar priwit hati aman	negative
terulang semoga	positive
var bullsht	neutral
keep head boys im proud spirit nothing impossible better next match	negative
ganti pemain co banget	positive
alhamdulillah hasil	positive
akun fake la	negative
var	neutral
hahaha kesel kesel luapkan dikomen brow cetak goal canggung	negative
bangkityy babak garuda	neutral
kasih please pengen banget lihat bermain	neutral
sekelas messi kalo main indonesia mah cadangin kuch kebanggaan	positive
offside si	negative
bener bngt bang pemain sekelas lo cadangan	negative
entut banget pas nonton tv indonesia komentator indonesia berasa nonton liga hadeh	positive
bang	positive
jordi badut	negative
lini lini permasalan	neutral
tsaqoffi obsede ta obesitas mbah	neutral
goal pemain irak offside	negative
udah pusing banget liatnya	negative
bagong nggih coach bagong	positive
yok buly wasit	neutral
jujur era luis milla bagus sty mental pemain lokal asian games filosofi bola udah nemu daya juang stamina	positive
jordi tarik	negative
poin lihat permainan kyk kemaren	neutral
serius diganti tenaga	negative
bek loyoooooo anjj	positive
netizen doyan kritik bersorak indonesia matang permainan berkembang goal ngebuat ritme permainan berubah drastis offside berbuah goal keputusan wasit goal bener bener fatal ngebuat jalan permainan berubah garuda perjalanan mu mencapai kematangan berani memotong generasi muda kebaikan jangka mari lihat kedepan menyalahkan pelatih pemain dll bersorak mencapai hasil kematangan berani memotong generasi cepat membuahkan hasil bersorak mari lihat kebodohan asli netizen indonesia	negative
kezel	positive
mmy kaya offside cantik	positive
sumpala indonesia butuh atriker sananta	neutral
wasitnya kali goal offside indonesia	negative
beda si pemain naturalisasi pemain asli indogaada beda pemain naturasi minim kontribusi	neutral
struik ngapain cosplay dandi shoot langsung	neutral
mending disipilin nyekill lengket	negative
asnawi ganti dah wajib	negative
makassar	positive
rashford struick	positive
ijonk ampun kritik bahasanya donh	negative
main kalo gtu bang jago	positive
jordi pecat	negative
nih akun asli asnawi grasak grusuk gabisa kalem dikit	negative
offside kena kaki kalo kena kaki iyah offide	neutral
asnawi pengalaman banding wals kelas pelatih	neutral
terimakasih garuda berjuang	positive
dh offside	negative
wkwkwk wasit bikin geli	negative
marcelino biar keliatan bner² jago main individu	neutral
var	neutral
tolong investigasi goal ko goal indonesia	neutral
ndapatady pelan om ato v	neutral
lupa komentku hapus pengin ngakak dosa	negative
f makasih coach masukannya bermain mohon arahan coach	neutral
goal irak sah aduh	negative
semangat bagus banget	positive
coach masukin sandy walsh kanan mesti masukin si witanancurrrr masuk witan klok kambuaya permainannya salah passingancurrrrrr	negative
asnawi lawan pas argentina ngotot ilang bolanya halnya klok pegang bola lepas yagaksih sedihnya sandy mainnya cuman sebentar	negative
sandyyyy walshh mending naturalisasi manfaatin pemain bagus milih ngandelin lokal pret	negative
ernando jancuk	positive
pemain indonesia sat set maennya pegang bola	neutral
kali blunder berbahaya	negative
indonesia dicurangi haduh pemain irak offside offside gunanya var	negative
asyari ydh aja main	neutral
proud garuda fighting	neutral
makassar kelas assist	neutral
admin post komen ilangin	negative
goal goal obsed	negative
goal ngeselin tinggal buang dimainin	negative
bismillah admin babak comeback	neutral
menunggu info instagram wasit ny	negative
bang heran	negative
seneng dikit marselino ngegolin udah kebobolan lgicome indonesia	negative
sandy shayne	positive
